ID,Outcome
0,0
1,0
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,0
147,0
148,1
149,0
150,1
151,0
